ID,CVSS_SCORE,LINK,PUBLISHED_DATE,LAST_MODIFIED
1,2.2,https://nvd.nist.gov/vuln/detail/CVE-2024-21232,2024-10-15,2024-10-16
2,4.9,https://nvd.nist.gov/vuln/detail/CVE-2024-21102,2024-04-16,2024-04-26
3,4.9,https://nvd.nist.gov/vuln/detail/CVE-2023-22078,2023-10-17,2023-12-22
4,2.7,https://nvd.nist.gov/vuln/detail/CVE-2023-21874,2023-01-17,2023-01-24
5,2.2,https://nvd.nist.gov/vuln/detail/CVE-2020-2933,2020-04-15,2023-11-06
6,6.8,https://nvd.nist.gov/vuln/detail/CVE-2012-0868,2012-07-18,2016-12-07
7,8.8,https://nvd.nist.gov/vuln/detail/CVE-2024-7348,2024-08-08,2024-08-12
8,4.6,https://nvd.nist.gov/vuln/detail/CVE-2014-0067,2014-03-31,2017-12-15
9,5,https://nvd.nist.gov/vuln/detail/CVE-2004-0547,2004-08-06,2017-07-10
10,7.5,https://nvd.nist.gov/vuln/detail/CVE-2002-0802,2002-08-12,2016-10-17
11,7.8,https://nvd.nist.gov/vuln/detail/CVE-2024-49021,2024-11-12,2024-11-13
12,9,https://nvd.nist.gov/vuln/detail/CVE-2008-0107,2008-07-08,2019-02-26
13,7.5,https://nvd.nist.gov/vuln/detail/CVE-2005-1272,2005-08-05,2021-04-07
14,5,https://nvd.nist.gov/vuln/detail/CVE-2002-0224,2002-05-16,2019-04-30
15,7.2,https://nvd.nist.gov/vuln/detail/CVE-1999-1556,1998-06-29,2017-10-09
16,3.1,https://nvd.nist.gov/vuln/detail/CVE-2024-21251,2024-10-15,2024-10-31
17,2.6,https://nvd.nist.gov/vuln/detail/CVE-2024-20911,2024-02-16,2024-02-20
18,3.1,https://nvd.nist.gov/vuln/detail/CVE-2020-14743,2020-10-21,2020-10-22
19,4.6,https://nvd.nist.gov/vuln/detail/CVE-2020-2977,2020-07-15,2024-07-20
20,2.3,https://nvd.nist.gov/vuln/detail/CVE-2017-10292,2017-10-19,2019-10-02
21,5.4,https://nvd.nist.gov/vuln/detail/CVE-2024-24812,2024-02-07,2024-02-14
22,6.5,https://nvd.nist.gov/vuln/detail/CVE-2023-40354,2023-08-14,2023-08-22
23,6.5,https://nvd.nist.gov/vuln/detail/CVE-2022-47015,2023-01-20,2024-06-06
24,5.5,https://nvd.nist.gov/vuln/detail/CVE-2022-38791,2022-08-27,2023-11-06
25,7.5,https://nvd.nist.gov/vuln/detail/CVE-2022-32089,2022-07-01,2023-11-06
